Document Set,Prompt,# Docs to Rerank,n-ary Heap,tokens,LLM,nDCG@10,command,path
DL19,Original,30,19-ary,450,llama-3,0.670200160604129,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 19 --output runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank30/19ary/reranked.run --prompt original --rerankN 30 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank30/19ary/reranked.run
DL19,Original,30,19-ary,450,Mixtral,0.591769401340822,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 19 --output runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank30/19ary/reranked.run --prompt original --rerankN 30 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank30/19ary/reranked.run
DL19,Original,30,19-ary,450,Qwen,0.683893017692031,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 19 --output runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank30/19ary/reranked.run --prompt original --rerankN 30 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank30/19ary/reranked.run
DL19,Original,30,4-ary,450,llama-3,0.677949252932141,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 4 --output runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank30/4ary/reranked.run --prompt original --rerankN 30 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank30/4ary/reranked.run
DL19,Original,30,4-ary,450,Mixtral,0.634883447892753,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 4 --output runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank30/4ary/reranked.run --prompt original --rerankN 30 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank30/4ary/reranked.run
DL19,Original,30,4-ary,450,Qwen,0.676206362624301,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 4 --output runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank30/4ary/reranked.run --prompt original --rerankN 30 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank30/4ary/reranked.run
DL19,Original,30,9-ary,450,llama-3,0.667787440451408,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 9 --output runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank30/9ary/reranked.run --prompt original --rerankN 30 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank30/9ary/reranked.run
DL19,Original,30,9-ary,450,Mixtral,0.635906059434171,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 9 --output runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank30/9ary/reranked.run --prompt original --rerankN 30 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank30/9ary/reranked.run
DL19,Original,30,9-ary,450,Qwen,0.68335685837086,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 9 --output runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank30/9ary/reranked.run --prompt original --rerankN 30 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank30/9ary/reranked.run
DL19,Original,100,19-ary,450,llama-3,0.728726221338682,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 19 --output runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank100/19ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank100/19ary/reranked.run
